,EST,User_name,Text,Sentiment,Created,User_flr
2020-05-05 00:18:09,2020-05-05 00:18:09-04:00,gothisha_,I’m acc gonna be singing bili jin for a good while now 💀,1,2020-05-05 04:18:09,1265
2020-05-05 07:13:43,2020-05-05 07:13:43-04:00,ElliottZaagman,RT @briefnorris: $BILI's (increasingly less subtle) embrace of state-sponsored messages is worthy of more coverage. It's much more overt th…,1,2020-05-05 11:13:43,9105
2020-05-05 11:31:31,2020-05-05 11:31:31-04:00,itskkamilla,"RT @itskkamilla: 🇵🇭 PH ONLY | PLEASE HELP RT 
&lt; LFB / WTS &gt;

im gonna sell some stuffs bili na po kayo!!! 🤗 all in good conditions 🤙🏻 ship…",1,2020-05-05 15:31:31,4568
2020-05-05 11:32:00,2020-05-05 11:32:00-04:00,StockHighArmy,"$DREM DREAM HOMES &amp; DEVELOPMENT CORP ANNOUNCES EXCLUSIVE VIDEO INTERVIEW WITH COMPANY CEO VINCE SIMONELLI AND STOCK INVESTOR DAILY https://t.co/xDmPUxJ02s 

$INO $AGRX $KLXE $CAPR $AVEO $IMGN $ATHX $STML $VSTM $FLDM $CODX $MVIS $RVP $IMGN $BILI $ARCT $ONDK $STML $ZYXI $IMGN $GLOP",1,2020-05-05 15:32:00,4053
2020-05-05 11:32:13,2020-05-05 11:32:13-04:00,StockHighAlertz,"$DREM DREAM HOMES &amp; DEVELOPMENT CORP ANNOUNCES EXCLUSIVE VIDEO INTERVIEW WITH COMPANY CEO VINCE SIMONELLI AND STOCK INVESTOR DAILY https://t.co/tReId9VpsF 

$INO $AGRX $KLXE $CAPR $AVEO $IMGN $ATHX $STML $VSTM $FLDM $CODX $MVIS $RVP $IMGN $BILI $ARCT $ONDK $STML $ZYXI $IMGN $GLOP",1,2020-05-05 15:32:13,30686
2020-05-05 11:34:49,2020-05-05 11:34:49-04:00,StockHighArmy,RT @StockHighAlertz: $DREM DREAM HOMES &amp; DEVELOPMENT CORP ANNOUNCES EXCLUSIVE VIDEO INTERVIEW WITH COMPANY CEO VINCE SIMONELLI AND STOCK IN…,1,2020-05-05 15:34:49,4053
2020-05-05 11:35:08,2020-05-05 11:35:08-04:00,StockHighAlertz,RT @StockHighAlertz: $DREM DREAM HOMES &amp; DEVELOPMENT CORP ANNOUNCES EXCLUSIVE VIDEO INTERVIEW WITH COMPANY CEO VINCE SIMONELLI AND STOCK IN…,1,2020-05-05 15:35:08,30686
2020-05-05 11:56:44,2020-05-05 11:56:44-04:00,EagleBrookCap,RT @StockHighAlertz: $DREM DREAM HOMES &amp; DEVELOPMENT CORP ANNOUNCES EXCLUSIVE VIDEO INTERVIEW WITH COMPANY CEO VINCE SIMONELLI AND STOCK IN…,1,2020-05-05 15:56:44,8853
2020-05-05 12:37:33,2020-05-05 12:37:33-04:00,EagleBrookCap,RT @DragondStocker: $DREM DREAM HOMES &amp; DEVELOPMENT CORP ANNOUNCES EXCLUSIVE VIDEO INTERVIEW WITH COMPANY CEO VINCE SIMONELLI AND STOCK INV…,1,2020-05-05 16:37:33,8853
2020-05-05 12:37:36,2020-05-05 12:37:36-04:00,EagleBrookCap,RT @GetSome82915135: $DREM DREAM HOMES &amp; DEVELOPMENT CORP ANNOUNCES EXCLUSIVE VIDEO INTERVIEW WITH COMPANY CEO VINCE SIMONELLI AND STOCK IN…,1,2020-05-05 16:37:36,8853
2020-05-05 12:58:11,2020-05-05 12:58:11-04:00,Gambiste1,RT @GetSome82915135: $DREM DREAM HOMES &amp; DEVELOPMENT CORP ANNOUNCES EXCLUSIVE VIDEO INTERVIEW WITH COMPANY CEO VINCE SIMONELLI AND STOCK IN…,1,2020-05-05 16:58:11,4802
2020-05-05 13:04:54,2020-05-05 13:04:54-04:00,Mss_Incredible,@__bilqeesa Happy Birthday Bili... God bless your new age 🎉🎊,1,2020-05-05 17:04:54,12729
2020-05-05 14:56:18,2020-05-05 14:56:18-04:00,Aswa786,"@M051N @S_W_B1 @Art_ghl @MH512_ @a1imt @m__bh9 @mj_d67 @lq_110 @afridi257 @Xmi_jee @tdqam4 @Muqadas55 @Mkamitk @Msm1472 @LionH29 @oct_aj @DrMujr @rs6790 @MKH_TR @kli_bili @Tuba_Z5 @Xab2i @syed1t Gain 100 in 5 minutes. Retweet Fast😘😘

Drop Your handlers &amp; let's Follow everyone.❤️❤️❤️ @Aswa786",1,2020-05-05 18:56:18,10615
2020-05-05 14:59:05,2020-05-05 14:59:05-04:00,miniayl,"HAPPYYYYY BIRTHDAYYYYY YOUSAFYYYYY😍😍😍😍
MAY YOU HAVE MANY MORE❤️❤️ MOI PAGAL DOST BILI KA GOSHT 🖤🖤 MAY ALL OF YOUR WISHES AND DREAMS COME TRUE💞💞
MERA JIGAR GURDAY PHAIPRAY❤️😭 ENJOY YOUR DAY MANHOOS AADMI😍 I LOVE YA SOOOO MUCHHHH💓 BAKI WHATSAPP PER😂😂
@Baba__Sarcastic",1,2020-05-05 18:59:05,2005
